id,type,latitude,longitude
5b7ba204-5309-4e8b-a892-5138a6f3374b,passenger,37.702532,-122.370635
ec85eb88-f29f-4a66-afe4-883396601cf3,driver,37.735754,-122.476518
f40284d5-ab7c-4678-8fef-f4d92e95b3f6,driver,37.708259,-122.452757
1db4d345-d69a-45ab-8798-e708490b5228,passenger,37.729762,-122.374187
1ebb5085-357b-4d7b-b9f6-256401cfcc81,passenger,37.779166,-122.487074
293f66ee-3fea-44f7-8724-99235314bdbd,passenger,37.711135,-122.437101
89d9e4c7-5161-4a4b-ada8-7dfc32ffe350,passenger,37.712601,-122.445342
4496e756-d2b3-43fb-8074-dc1b2d4810b7,passenger,37.757607,-122.380798
3276a226-53b5-4b7a-a082-29e42a29939b,driver,37.824438,-122.459511
883e8634-769f-4a49-8c1e-3f4205a029e3,passenger,37.827941,-122.495237
ddc0b6e9-8c4a-40b2-ad84-b9c67bf26d4e,driver,37.809571,-122.3936
7c238612-82f2-44f7-9dde-799e8a133bd8,driver,37.710373,-122.475081
c656b00e-281b-4952-aa91-6c526798d73e,passenger,37.755065,-122.439946
ef17e041-f2e0-4e52-b809-8b17769ec844,passenger,37.743951,-122.421754
672f724e-00f2-471b-8d70-1d1f204490d6,passenger,37.756953,-122.432364
2736130c-7e1e-4373-8bfa-1adb175fa9e7,driver,37.805226,-122.509025
cc896d43-ae62-416e-a01d-8d793db8d556,driver,37.722248,-122.400631
04f7ced4-14d5-4b32-8b99-f12757cc4b93,passenger,37.727851,-122.490153
d7aed44a-43bb-4f63-9715-023031bb6bb3,driver,37.711818,-122.502933
52565253-cf4d-4cd5-a486-6e0b5ac65938,passenger,37.829907,-122.384596
664649e2-ae72-4faf-ac52-22554b39ce78,driver,37.772403,-122.407308
93399885-672f-41ab-b1c2-36dd1857cbb7,driver,37.727428,-122.368564
ee74fdd4-e2ef-4162-814b-717246ff2880,driver,37.714254,-122.415883
8ecc7ce5-ee5f-4173-b2d2-630b99a0e6a7,passenger,37.770108,-122.40051
34c7ad42-3f3b-46f1-9f59-082392369cb7,driver,37.749209,-122.427194
2f7d266e-8a87-4d40-b3d5-74a6ce9602c7,passenger,37.701493,-122.401892
f1026ae3-e3f2-4af9-a469-33ec3d1c3bb9,driver,37.815983,-122.496959
c1d346f7-08ca-4cd9-be16-68e662d31278,driver,37.807823,-122.417222
90564091-63a9-4059-a0a8-56e64fb86575,driver,37.741009,-122.469839
335e0ada-e930-42dc-b05b-1e50ed370846,driver,37.810174,-122.419441
169a05e7-a314-4d0f-b777-05c051703a94,passenger,37.804975,-122.481439
cbbe6967-2ebd-4c84-86ad-d1e74ebf8ae6,passenger,37.799126,-122.429093
